Name,Year,Global_Sales
Mega Man Legends,1997.0,0.83
The Price is Right,2008.0,0.83
MediEvil,1998.0,0.83
Casper,1996.0,0.83
Street Fighter V,2016.0,0.82
Clu Clu Land,1984.0,0.82
Killer Instinct Gold,1996.0,0.82
Tales of the Abyss,2011.0,0.82
Stranglehold,2007.0,0.82
Dragon Warrior III,2000.0,0.81
Kamaitachi no Yoru,1994.0,0.81
Patapon,2007.0,0.81
Tales of Destiny II,2000.0,0.81
EA Sports Active NFL Training Camp,2010.0,0.81
Guitar Hero Live,2015.0,0.81
Valkyrie Profile,1999.0,0.81
Mega Man,1987.0,0.81
EarthBound,1994.0,0.81
The Next Tetris,1998.0,0.81
Dying Light,2015.0,0.81
MadWorld,2009.0,0.8
Fight Night Champion,2011.0,0.8
Who wants to be a millionaire,2000.0,0.8
Yakuza,2005.0,0.8
Moto Racer,1997.0,0.8
Final Fantasy Anthology,1999.0,0.8
All Star Cheer Squad,2008.0,0.8
Darksiders II,2012.0,0.8
Band Hero,2009.0,0.8
The Godfather II,2009.0,0.79
Alien,1981.0,0.79
Rayman Origins,2011.0,0.79
Ridge Racer,1994.0,0.79
Invizimals,2009.0,0.79
Motocross Mania,2001.0,0.79
WCW Mayhem,1999.0,0.79
Ghost Squad,2007.0,0.79
Drawn to Life,2007.0,0.79
Major League Baseball Featuring Ken Griffey Jr,1998.0,0.79
Too Human,2008.0,0.79
Professor Layton and the Azran Legacy,2013.0,0.78
Lips,2008.0,0.78
Metroid Prime Hunters,2006.0,0.78
Doom,1994.0,0.78
Puzzler World,2009.0,0.78
We Sing,2009.0,0.78
God of War Saga,2012.0,0.78
Battle Stations,1997.0,0.78
Tetris Party Deluxe,2010.0,0.78
DJ Hero,2009.0,0.77
Perfect Dark Zero,2005.0,0.77
Galaxian,1982.0,0.77
Andretti Racing,1996.0,0.77
Air Raid,1981.0,0.77
Duke Nukem Forever,2011.0,0.77
Freedom Wars,2014.0,0.77
Boxing,1980.0,0.77
Crystal Castles,1983.0,0.77
My Baby Girl,2008.0,0.77
Pokemon Dash,2004.0,0.77
Unlimited Saga,2002.0,0.77
Sonic Unleashed,2008.0,0.76
MTV Celebrity Deathmatch,2003.0,0.76
Mortal Kombat,2012.0,0.76
ISS Pro Evolution,1998.0,0.76
SoulCalibur V,2012.0,0.76
Final Fantasy II,1988.0,0.76
Deer Drive,2009.0,0.76
Dark Souls II,2014.0,0.76
Legends of Wrestling,2001.0,0.76
Rockstar Games presents Table Tennis,2006.0,0.76
Monopoly Streets,2010.0,0.76
Final Fantasy Legend III,1991.0,0.76
Rare Replay,2015.0,0.75
Spectrobes,2007.0,0.75
Band Hero,2009.0,0.75
Tearaway,2013.0,0.75
The Godfather II,2009.0,0.75
Turok,2008.0,0.75
Shark Tale,2004.0,0.75
Zone of the Enders,2001.0,0.75
Street Fighter EX Plus Alpha,1997.0,0.75
Coded Arms,2005.0,0.75
Tales of Vesperia,2008.0,0.75
Sega Superstars Tennis,2008.0,0.75
Jump Ultimate Stars,2006.0,0.74
Resonance of Fate,2010.0,0.74
Burnout,2001.0,0.74
Brink,2011.0,0.74
LEGO Marvel Super Heroes,2013.0,0.74
Blur,2010.0,0.74
Namco Museum Remix,2007.0,0.74
Indiana Jones and the Staff of Kings,2009.0,0.74
Unreal Championship,2002.0,0.74
Sword of Mana,2003.0,0.74
Yoshi,1991.0,0.73
Berzerk,1981.0,0.73
iCarly,2009.0,0.73
Just Dance Wii,2011.0,0.73
Full Spectrum Warrior,2004.0,0.73
Katamari Damacy,2004.0,0.73
SSX,2012.0,0.72
Rabbids Go Home,2009.0,0.72
God Eater,2010.0,0.72
SD Gundam G Generation,1998.0,0.72
Dead to Rights,2002.0,0.72
Kouchuu Ouja Mushi King,2005.0,0.72
Terraria,2013.0,0.72
Kangaroo,1982.0,0.72
Skate,2007.0,0.72
Monster Hunter Tri,2012.0,0.72
Catherine,2011.0,0.72
Fear Effect,1998.0,0.72
Crysis,2007.0,0.72
Super Trucks Racing,2002.0,0.71
LEGO Rock Band,2009.0,0.71
LEGO Racers,1999.0,0.71
WWF Attitude,1999.0,0.71
Blast Corps,1997.0,0.71
South Park,1998.0,0.71
Two Worlds,2007.0,0.71
Infinite Undiscovery,2008.0,0.7
Lalaloopsy,2011.0,0.7
SplashDown,2001.0,0.7
Jade Empire,2005.0,0.7
Advance Wars,2001.0,0.7
World of Zoo,2009.0,0.7
Book of Spells,2012.0,0.7
Mafia,2004.0,0.7
MotionSports,2010.0,0.7
King Kong,1981.0,0.69
The LEGO Movie Videogame,2014.0,0.69
Disney Tangled,2010.0,0.69
Shrek the Third,2007.0,0.69
Mario Pinball Land,2004.0,0.69
Mappy,1984.0,0.69
NFL Xtreme,1998.0,0.69
The Sly Collection,2010.0,0.69
Harry Potter and the Chamber of Secrets,2002.0,0.69
The Last Remnant,2008.0,0.69
Shark Tale,2004.0,0.68
The Last Story,2011.0,0.68
Iron Man,2008.0,0.68
Rayman Legends,2013.0,0.68
Suikoden II,1998.0,0.68
Red Steel,2006.0,0.68
Mass Effect,2008.0,0.68
Country Dance,2011.0,0.68
Turok,2008.0,0.68
Unreal Tournament III,2007.0,0.67
Need for Speed Rivals,2013.0,0.67
Lollipop Chainsaw,2012.0,0.67
The Darkness,2007.0,0.67
Spice World,1998.0,0.67
Taiko no Tatsujin Wii,2008.0,0.67
The LEGO Movie Videogame,2014.0,0.67
Ratatouille,2007.0,0.67
RIFT,2011.0,0.67
BioShock Infinite,2013.0,0.67
TV Show King Party,2008.0,0.67
Crafting Mama,2010.0,0.67
Adventures of Tron,1981.0,0.67
NFL Street,2004.0,0.66
Shaun White Snowboarding,2008.0,0.66
The LEGO Movie Videogame,2014.0,0.66
Darkstone,2001.0,0.66
Finding Nemo,2003.0,0.66
Thrillville,2006.0,0.66
Madagascar,2005.0,0.66
Puzzler Brain Games,2012.0,0.66
Rayman Legends,2013.0,0.66
Street Fighter Anniversary Collection,2004.0,0.66
Legend of Legaia,1998.0,0.66
Keystone Kapers,1982.0,0.66
LEGO Marvel Super Heroes,2013.0,0.66
Suikoden IV,2004.0,0.66
Gods Eater Burst,2010.0,0.66
Um Jammer Lammy,1998.0,0.66
Animaniacs Ten Pin Alley,1998.0,0.66
Kung Fu Panda,2008.0,0.65
The Evil Within,2014.0,0.65
Radiata Stories,2005.0,0.65
Up,2009.0,0.65
Centipede,1998.0,0.65
Drakengard,2003.0,0.65
SingStar Pop Hits,2007.0,0.65
Harry Potter and the Goblet of Fire,2005.0,0.65
Super Robot Taisen Impact,2002.0,0.65
The Black Eyed Peas Experience,2011.0,0.65
Diablo III,2014.0,0.64
Crash of the Titans,2007.0,0.64
Dragon Age II,2011.0,0.64
Castlevania,1999.0,0.64
NieR,2010.0,0.64
The Princess and the Frog,2009.0,0.64
Sega Rally Revo,2007.0,0.64
Gravity Rush,2012.0,0.64
White Knight Chronicles II,2010.0,0.64
Wolfenstein,2009.0,0.64
LEGO Dimensions,2015.0,0.64
Donkey Kong Barrel Blast,2007.0,0.64
Okami,2008.0,0.64
Nightmare Creatures,1997.0,0.63
SingStar Queen,2009.0,0.63
Sim Theme Park,1999.0,0.63
Dogz,2004.0,0.63
Disney Universe,2011.0,0.63
Iron Man,2008.0,0.63
Super Castlevania IV,1991.0,0.63
Angry Birds Trilogy,2012.0,0.63
God of War III,2015.0,0.63
The Crew,2014.0,0.63
Final Fantasy VII International,1997.0,0.63
Okami,2006.0,0.63
World of Zoo,2009.0,0.63
LEGO Jurassic World,2015.0,0.63
Wet,2009.0,0.63
MySims Racing,2009.0,0.63
Buzz Lightyear of Star Command,2000.0,0.63
Namco Museum,2002.0,0.63
Virtua Cop,1995.0,0.62
WWF in Your House,1996.0,0.62
Vanquish,2010.0,0.62
Battlezone,1982.0,0.62
Evolve,2015.0,0.62
Bolt,2008.0,0.62
Viewtiful Joe,2003.0,0.62
FIFA Soccer,2012.0,0.62
Strike Force Bowling,2004.0,0.62
Halloween,1982.0,0.62
Bass Landing,1999.0,0.62
Fighters MEGAMiX,1996.0,0.62
Bahamut Lagoon,1996.0,0.62
SingStar Singalong With Disney,2008.0,0.61
New Carnival Games,2010.0,0.61
Ganbaru Watashi no Kakei Diary,2007.0,0.61
Small Soldiers,1998.0,0.61
SimCity DS,2007.0,0.61
Final Fantasy IV Advance,2005.0,0.61
Tomb Raider Chronicles,1999.0,0.61
Harry Potter and the Goblet of Fire,2005.0,0.61
Fighters Uncaged,2010.0,0.61
Monster Trucks,2004.0,0.6
Shadow The Hedgehog,2005.0,0.6
The Golden Compass,2007.0,0.6
Disney Infinity,2013.0,0.6
LEGO Jurassic World,2015.0,0.6
LEGO The Hobbit,2014.0,0.6
Suikoden,1995.0,0.6
Secret Agent Clank,2009.0,0.6
Rayman Arena,2001.0,0.6
Jaws Unleashed,2006.0,0.6
Puyo Puyo Sun,1997.0,0.6
Skylanders SWAP Force,2013.0,0.6
Blur,2010.0,0.6
Front Mission,1995.0,0.6
Monopoly,2008.0,0.6
Dead Space,2008.0,0.59
Rayman Origins,2012.0,0.59
CyberTiger,1998.0,0.59
Iron Man,2008.0,0.59
BurgerTime,1981.0,0.59
Dead or Alive Xtreme Beach Volleyball,2003.0,0.59
Tales of Rebirth,2004.0,0.59
SoulCalibur V,2012.0,0.59
Tales of Zestiria,2015.0,0.59
Skate it,2008.0,0.59
Game Party in Motion,2010.0,0.59
Mega Man Anniversary Collection,2004.0,0.59
Final Fantasy Anniversary Edition,2007.0,0.59
Dark Souls II,2015.0,0.59
Zumba Fitness,2010.0,0.59
Backyard NBA Basketball,2003.0,0.59
The Conduit,2009.0,0.58
Diablo,1997.0,0.58
Romancing SaGa,2005.0,0.58
Trivial Pursuit,2009.0,0.58
Kinect Sports Rivals,2014.0,0.58
Rayman Origins,2011.0,0.58
Titanfall,2014.0,0.58
Unreal Tournament,2000.0,0.58
Tales of Phantasia,1998.0,0.58
Petz Nursery,2009.0,0.58
Championship Motocross featuring Ricky Carmichael,1998.0,0.58
Parasite Eve II,1999.0,0.58
Tetris Party Deluxe,2010.0,0.58
Shin Megami Tensei IV,2013.0,0.57
Theme Park,1994.0,0.57
Far Cry Instincts,2005.0,0.57
Hasbro Family Game Night,2008.0,0.57
Up,2009.0,0.57
Tales of the Abyss,2005.0,0.57
Disney Universe,2011.0,0.57
Iron Man,2008.0,0.57
Beyond The Beyond,1995.0,0.57
No More Heroes,2007.0,0.57
Defiance,2013.0,0.57
Dogz,2006.0,0.57
The Mysterious Murasame Castle,1986.0,0.57
NBA Hangtime,1997.0,0.57
Grease,2010.0,0.57
Blood Wake,2001.0,0.57
Super Bomberman,1992.0,0.57
SD Gundam G Generation Neo,2002.0,0.57
RalliSport Challenge,2002.0,0.57
XIII,2003.0,0.57
LEGO Rock Band,2009.0,0.57
Bolt,2008.0,0.57
LEGO Dimensions,2015.0,0.56
Breath of Fire IV,2000.0,0.56
Odin Sphere,2007.0,0.56
Donkey Kong Jungle Climber,2007.0,0.56
The Incredible Hulk,2003.0,0.56
Arena Football,2006.0,0.56
Harry Potter Collection,2006.0,0.56
Wolfenstein,2009.0,0.56
Backyard NFL Football,2002.0,0.56
NASCAR Rumble,2000.0,0.56
Xenoblade Chronicles,2015.0,0.56
Fullmetal Alchemist and the Broken Angel,2003.0,0.56
Batman Begins,2005.0,0.56
Barbie Groovy Games,2002.0,0.56
ESPN NFL Football,2003.0,0.56
Fatal Fury Special,1994.0,0.56
Catz,2006.0,0.56
DS Bimoji Training,2008.0,0.56
Petz Catz Clan,2008.0,0.56
Soul Sacrifice,2013.0,0.56
Purr Pals,2007.0,0.56
Daytona USA,1994.0,0.55
WWF Raw,2002.0,0.55
Shin Super Robot Taisen,1996.0,0.55
Jump Super Stars,2005.0,0.55
Legends of WrestleMania,2009.0,0.55
The Activision Decathlon,1982.0,0.55
Sakura Wars,1996.0,0.55
Yokai Sangokushi,2016.0,0.55
Extermination,2001.0,0.55
TMNT,2007.0,0.55
CrossworDS,2008.0,0.55
Mega Man Zero,2002.0,0.55
SD Gundam G Generation Zero,1999.0,0.55
Super Robot Taisen F,1997.0,0.55
Super Robot Taisen F Kanketsuhen,1998.0,0.55
Tak and the Power of Juju,2003.0,0.55
American Idol,2003.0,0.55
Red Dead Revolver,2004.0,0.55
LEGO The Hobbit,2014.0,0.54
Iron Man,2008.0,0.54
SingStar Summer Party,2008.0,0.54
The SpongeBob SquarePants Movie,2004.0,0.54
Excite Truck,2006.0,0.54
Dance Dance Revolution Ultramix,2003.0,0.54
ModNation Racers,2010.0,0.54
Crash Tag Team Racing,2005.0,0.54
Two Worlds II,2011.0,0.54
LEGO Dimensions,2015.0,0.54
Inazuma Eleven,2008.0,0.54
Action Force,1982.0,0.54
Gauntlet Legends,1999.0,0.54
Tales of Symphonia,2013.0,0.54
Bust A Groove,1998.0,0.54
Valkyria Chronicles II,2010.0,0.54
Terminator Salvation,2009.0,0.54
How to Train Your Dragon,2010.0,0.54
SSX Tricky,2001.0,0.54
Star Fox Command,2006.0,0.54
ESPN NBA Basketball,2003.0,0.54
Inazuma Eleven GO,2011.0,0.54
Over the Hedge,2006.0,0.54
Popeye,1982.0,0.54
The Hobbit,2003.0,0.54
War of the Monsters,2003.0,0.54
Jewel Master Egypt,2009.0,0.53
Time Crisis II,2001.0,0.53
Clock Tower,1996.0,0.53
SimAnimals,2009.0,0.53
LEGO Jurassic World,2015.0,0.53
Virtual Soccer,1993.0,0.53
Winning Post,1993.0,0.53
SingStar Dance,2010.0,0.53
Kirby and the Rainbow Curse,2015.0,0.53
Burnout Revenge,2005.0,0.53
We Cheer,2008.0,0.53
Alice in Wonderland,2010.0,0.53
Bulletstorm,2011.0,0.53
Oni,2001.0,0.53
Juiced,2005.0,0.53
The Warriors,2005.0,0.53
Seaman,1999.0,0.52
The Grinch,1999.0,0.52
GT Pro Series,2006.0,0.52
Tales of Destiny,2006.0,0.52
Classic Word Games,2009.0,0.52
The Golden Compass,2007.0,0.52
Final Fantasy Chronicles,2001.0,0.52
We Love Katamari,2005.0,0.52
DC Universe Online,2011.0,0.52
Final Fantasy Explorers,2014.0,0.52
Ratatouille,2007.0,0.52
Kung Fu Panda,2008.0,0.52
Swing Away Golf,2000.0,0.52
Ratatouille,2007.0,0.52
Freedom Fighters,2003.0,0.52
Gun,2005.0,0.52
Lair,2007.0,0.52
The Punisher,2005.0,0.52
SSX On Tour,2005.0,0.52
Harry Potter and the Prisoner of Azkaban,2004.0,0.52
Omega Boost,1999.0,0.52
Iron Man,2008.0,0.52
My Word Coach,2007.0,0.51
Way of the Samurai,2002.0,0.51
The LEGO Movie Videogame,2014.0,0.51
Prince of Persia Trilogy,2010.0,0.51
The Saboteur,2009.0,0.51
Lords of the Fallen,2014.0,0.51
Jam With the Band,2008.0,0.51
Summoner,2000.0,0.51
Virtual Pool,1997.0,0.51
Sega Bass Fishing,2008.0,0.51
Dynasty Warriors,2004.0,0.51
Wrecking Crew,1985.0,0.51
Test Drive Unlimited,2007.0,0.51
LEGO Dimensions,2015.0,0.51
Picross DS,2007.0,0.51
Final Fantasy II Anniversary Edition,2007.0,0.51
Quantum Break,2016.0,0.51
World Championship Poker,2004.0,0.51
The BIGS,2007.0,0.51
Final Fantasy,2000.0,0.51
Burnout Revenge,2006.0,0.51
Rory McIlroy PGA Tour,2015.0,0.51
Euro Truck Simulator,2008.0,0.51
Dishonored,2012.0,0.51
NBA Ballers,2004.0,0.51
River Raid II,1988.0,0.51
Capcom Classics Collection,2005.0,0.51
Guitar Hero Live,2015.0,0.51
Monopoly Party,2002.0,0.51
Sonic Riders,2006.0,0.5
Midnight Magic,1983.0,0.5
Midnight Club II,2003.0,0.5
The Mummy Returns,2001.0,0.5
Disney Sing It,2008.0,0.5
Chopper Command,1982.0,0.5
Activision Anthology,2002.0,0.5
LEGO The Hobbit,2014.0,0.5
Babysitting Mama,2010.0,0.5
Boogie,2007.0,0.5
Fortune Street,2011.0,0.5
Super Robot Taisen MX,2004.0,0.5
Alice in Wonderland,2010.0,0.5
NBA Street Homecourt,2007.0,0.5
Dead or Alive Ultimate,2004.0,0.5
RPG Maker,1997.0,0.5
The Saboteur,2009.0,0.5
The Price is Right,2008.0,0.5
Monster Hunter,2004.0,0.5
Dreamworks Madagascar Kartz,2009.0,0.5
Shrek SuperSlam,2005.0,0.5
Rayman Advance,2001.0,0.5
Super Robot Taisen Z,2008.0,0.5
PoPoLoCrois Monogatari,1996.0,0.5
The Evil Within,2014.0,0.5
RealSports Tennis,1982.0,0.5
Raiders of the Lost Ark,1981.0,0.5
Gauntlet,1982.0,0.5
Ice Hockey,1980.0,0.49
Lollipop Chainsaw,2012.0,0.49
Sonic Lost World,2013.0,0.49
Ultimate I Spy,2008.0,0.49
The Sims,2003.0,0.49
Grandia III,2005.0,0.49
Pokemon Art Academy,2014.0,0.49
Medal of Honor,2010.0,0.49
Terraria,2013.0,0.49
Backyard Baseball,2004.0,0.49
WipEout Pulse,2009.0,0.49
LEGO Marvel Super Heroes,2013.0,0.49
Alone in the Dark,2008.0,0.49
Crazy Taxi,2001.0,0.49
Steel Diver,2011.0,0.49
Tales of Legendia,2005.0,0.49
Crash of the Titans,2007.0,0.49
Harry Potter and the Order of the Phoenix,2007.0,0.49
Dead Space Extraction,2009.0,0.48
Shrek the Third,2007.0,0.48
Metal Gear Solid HD Edition,2012.0,0.48
Children of Mana,2006.0,0.48
Millipede,1983.0,0.48
The Legend of the Mystical Ninja,1991.0,0.48
Dark Sector,2008.0,0.48
ECW Hardcore Revolution,1999.0,0.48
Rock Band Unplugged,2009.0,0.48
OkamiDen,2010.0,0.48
Secret Weapons Over Normandy,2003.0,0.48
Two Worlds II,2011.0,0.48
Theme Park Roller Coaster,2000.0,0.48
Nickelodeon Team Umizoomi,2011.0,0.48
FlingSmash,2010.0,0.48
Dynasty Warriors Gundam,2007.0,0.48
Fable,2014.0,0.48
Up,2009.0,0.48
Grand Prix,1981.0,0.48
Ford Racing Off Road,2008.0,0.48
SimCity Creator,2008.0,0.48
Emergency Heroes,2008.0,0.48
Fantavision,2000.0,0.47
Double Dragon,1989.0,0.47
Alien Trilogy,1996.0,0.47
Dark Sector,2008.0,0.47
Unreal Tournament III,2008.0,0.47
Street Fighter X Tekken,2012.0,0.47
MySims Racing,2009.0,0.47
Hamsterz Life,2006.0,0.47
Gauntlet Legends,2000.0,0.47
Deadpool,2013.0,0.47
WipEout,1995.0,0.47
ICO,2001.0,0.47
Petz Sports,2008.0,0.47
Densetsu no Stafi,2002.0,0.47
Hot Wheels Velocity X,2002.0,0.47
Shadowrun,2007.0,0.47
Clash of Elementalists,2010.0,0.47
Bomberman Hero,1998.0,0.47
Automobili Lamborghini,1997.0,0.47
Momotarou Dentetsu V,1999.0,0.47
Boom Blox Bash Party,2009.0,0.47
Commando,1987.0,0.47
Rise of Nightmares,2011.0,0.47
The Princess and the Frog,2009.0,0.47
Need for Speed Carbon,2006.0,0.47
MTV Music Generator,1999.0,0.47
Super Momotarou Dentetsu DX,1995.0,0.47
Downhill Domination,2003.0,0.47
World Series of Poker,2005.0,0.47
We Sing Encore,2010.0,0.47
Razor Freestyle Scooter,1999.0,0.46
Crash of the Titans,2007.0,0.46
Super Batter Up,1992.0,0.46
Kessen II,2001.0,0.46
ATV Offroad Fury Pro,2006.0,0.46
SingStar Amped,2007.0,0.46
Hydro Thunder,1999.0,0.46
Deadpool,2013.0,0.46
EA Sports UFC,2014.0,0.46
Gremlins,1983.0,0.46
The Mark of Kri,2002.0,0.46
Crash Nitro Kart,2003.0,0.46
LEGO Rock Band,2009.0,0.46
The Golden Compass,2007.0,0.46
Bloody Roar II,1999.0,0.46
Burnout Dominator,2007.0,0.46
Space Invaders,1994.0,0.46
Rayman Legends,2013.0,0.46
Hyperdimension Neptunia,2010.0,0.46
iCarly,2009.0,0.46
Top Spin,2003.0,0.46
Disney Guilty Party,2010.0,0.46
Warhawk,1995.0,0.46
DanceStar Party,2011.0,0.46
Tales of Vesperia,2009.0,0.45
Tales of Hearts,2013.0,0.45
Missile Command,1999.0,0.45
Barbie as The Island Princess,2007.0,0.45
Enter the Matrix,2003.0,0.45
The New York Times Crosswords,2007.0,0.45
Brain Challenge,2008.0,0.45
NFL Head Coach,2006.0,0.45
Watch Dogs,2014.0,0.45
Karaoke Revolution Presents American Idol Encore,2008.0,0.45
Ghostbusters,1985.0,0.45
Sega Rally Revo,2007.0,0.45
Phoenix,1981.0,0.45
My Fashion Studio,2007.0,0.45
Rock Band Country Track Pack,2009.0,0.45
Apocalypse,1998.0,0.45
SingStar Queen,2009.0,0.45
Sphinx and the Cursed Mummy,2003.0,0.45
Rampage World Tour,1998.0,0.45
Pokemon Puzzle League,2000.0,0.45
Eternal Sonata,2008.0,0.45
Bee Movie Game,2007.0,0.45
Tekken Advance,2001.0,0.45
Persona,1995.0,0.45
Band Hero,2009.0,0.45
Mobile Suit Gundam,1995.0,0.45
SingStar Take That,2009.0,0.45
Final Fantasy Collection,1999.0,0.45
NHL FaceOff,1994.0,0.45
Brunswick Pro Bowling,2010.0,0.45
Defender II,1987.0,0.45
WWE Day of Reckoning,2004.0,0.45
Sled Storm,2002.0,0.45
Vandal Hearts,1996.0,0.45
Mario Tennis Ultra Smash,2015.0,0.45
Celebrity Sports Showdown,2008.0,0.45
Jawbreaker,1981.0,0.45
Karaoke Revolution,2009.0,0.45
The Thing,2002.0,0.44
Van Helsing,2004.0,0.44
World Stadium EX,1996.0,0.44
Independence Day,1997.0,0.44
Chocobo Racing,1999.0,0.44
Child of Eden,2011.0,0.44
Family Fest Presents Circus Games,2008.0,0.44
My Spanish Coach,2007.0,0.44
The Darkness,2007.0,0.44
Bomberman II,1991.0,0.44
Jump Start Pet Rescue,2009.0,0.44
Naughty Bear,2010.0,0.44
MX Unleashed,2004.0,0.44
Grind Session,2000.0,0.44
Wario World,2003.0,0.44
Deer Drive,2010.0,0.44
Devil May Cry HD Collection,2012.0,0.44
SingStar Motown,2009.0,0.44
Neon Genesis Evangelion,1996.0,0.44
Tongari Boushi to Mahou no Otana,2010.0,0.44
Master of Illusion,2006.0,0.44
Remington Great American Bird Hunt,2009.0,0.44
Alpha Protocol,2010.0,0.43
Tetris Axis,2011.0,0.43
Primal,2003.0,0.43
SSX Tricky,2001.0,0.43
Flight Control Rocket,2005.0,0.43
Trials Fusion,2014.0,0.43
Wheel of Fortune,2010.0,0.43
Overwatch,2016.0,0.43
NBA Jam,2010.0,0.43
Bionicle,2003.0,0.43
Minecraft,2016.0,0.43
Sleeping Dogs,2014.0,0.43
TimeSplitters,2000.0,0.43
Barnstorming,1981.0,0.43
How to Train Your Dragon,2010.0,0.43
Mischief Makers,1997.0,0.43
Petz Bunnyz,2008.0,0.43
EverQuest Online Adventures,2003.0,0.43
Cool Boarders,1996.0,0.43
Zone of the Enders HD Collection,2012.0,0.43
Def Jam Icon,2007.0,0.43
Monopoly,2008.0,0.43
Dawn of Mana,2006.0,0.43
Microsoft Flight Simulator X,2006.0,0.43
NASCAR Kart Racing,2009.0,0.43
Disney Sing It,2008.0,0.43
Backyard Baseball,2002.0,0.43
Midway Arcade Treasures,2003.0,0.43
The Smurfs,2011.0,0.43
SEGA Classics Collection,2005.0,0.43
NBA Street,2002.0,0.42
Mega Man Battle Network,2001.0,0.42
LEGO Rock Band,2009.0,0.42
The Sims,2003.0,0.42
The X Files,1999.0,0.42
Super Wagyan Land,1991.0,0.42
Rascal,1998.0,0.42
Hometown Story,2013.0,0.42
Colony Wars,1997.0,0.42
Big Strike Bowling,2003.0,0.42
Ragnarok Odyssey,2012.0,0.42
Horsez,2006.0,0.42
Grandia,1997.0,0.42
Hot Wheels World Race,2003.0,0.42
American Chopper,2004.0,0.42
Vanquish,2010.0,0.42
Marvel Super Hero Squad,2009.0,0.42
Arc the Lad III,1999.0,0.42
Solitaire Overload,2007.0,0.42
Test Drive,2002.0,0.42
Mega Man Anniversary Collection,2004.0,0.42
Harry Potter and the Goblet of Fire,2005.0,0.42
BloodRayne,2002.0,0.42
Black,2006.0,0.42
Hyrule Warriors,2016.0,0.42
Fishing Resort,2011.0,0.42
WWE All Stars,2011.0,0.42
High Rollers Casino,2004.0,0.42
The Suffering,2004.0,0.42
Katamari Forever,2009.0,0.42
TimeShift,2007.0,0.41
NBA Jam,2003.0,0.41
Quake II,1998.0,0.41
Crash of the Titans,2007.0,0.41
BioShock,2007.0,0.41
Grudge Warriors,1999.0,0.41
Mobile Suit Gundam,1995.0,0.41
Mass Effect Trilogy,2012.0,0.41
Itadaki Street DS,2007.0,0.41
Six Flags Fun Park,2009.0,0.41
Spore Hero,2009.0,0.41
Mass Effect Trilogy,2012.0,0.41
NASCAR Racing,1996.0,0.41
LEGO Jurassic World,2015.0,0.41
Up,2009.0,0.41
SpongeBob SquigglePants,2011.0,0.41
Fantastic Pets,2011.0,0.41
Dig Dug,1985.0,0.41
The LEGO Movie Videogame,2014.0,0.41
Armored Core,1997.0,0.41
Monster Trucks Mayhem,2009.0,0.41
Monopoly Streets,2010.0,0.41
Band Hero,2009.0,0.41
Pro Pinball,1996.0,0.41
Naughty Bear,2010.0,0.41
Littlest Pet Shop,2008.0,0.41
Duke Nukem Forever,2011.0,0.41
Mario no Super Picross,1995.0,0.41
The Gunstringer,2011.0,0.41
From Russia With Love,2005.0,0.41
Pengo,1983.0,0.4
Story of Seasons,2014.0,0.4
Mouse Trap,1981.0,0.4
Overlord,2007.0,0.4
Tak and the Power of Juju,2003.0,0.4
Sega Superstars Tennis,2008.0,0.4
Dragon Quest X,2013.0,0.4
Defender,2002.0,0.4
Congo Bongo,1982.0,0.4
Pet in TV,1997.0,0.4
Battalion Wars,2005.0,0.4
Samurai Shodown,1994.0,0.4
TMNT,2007.0,0.4
Fighting Vipers,1995.0,0.4
Top Gear Rally,1997.0,0.4
Atari Anthology,2004.0,0.4
NBA Jam,2010.0,0.4
Brunswick Pro Bowling,2007.0,0.4
Mafia II,2010.0,0.4
Legends of WrestleMania,2009.0,0.4
Wii Sports Club,2014.0,0.4
Sonic Lost World,2013.0,0.4
Boku no Natsuyasumi,2000.0,0.4
Armored Core V,2012.0,0.4
NBA Jam,2010.0,0.4
SD Gundam G Generation Seed,2004.0,0.4
Rise of the Tomb Raider,2015.0,0.4
Tales of Phantasia,1995.0,0.4
Alpha Protocol,2010.0,0.4
Suzuki TT Superbikes,2005.0,0.4
Rumble Roses,2004.0,0.39
LEGO The Lord of the Rings,2012.0,0.39
Dungeon Siege III,2011.0,0.39
Brunswick Pro Bowling,2007.0,0.39
Danball Senki,2011.0,0.39
NASCAR Heat,2000.0,0.39
Bloody Roar,1997.0,0.39
The House of The Dead III,2002.0,0.39
The Darkness II,2012.0,0.39
Laser Blast,1981.0,0.39
LocoRoco,2006.0,0.39
Tear Ring Saga Yutona Eiyuu Senki,2001.0,0.39
Project X Zone,2012.0,0.39
Age of Empires III,2005.0,0.39
Dawn of Discovery,2009.0,0.39
Skylanders Giants,2012.0,0.39
Super Fire ProWrestling,1991.0,0.39
Chessmaster,2003.0,0.39
Fatal Fury,1992.0,0.39
The Dog Island,2007.0,0.39
Madden NFL Football,2011.0,0.39
Auto Modellista,2002.0,0.39
Junior Classic Games,2009.0,0.39
Karaoke Revolution Presents American Idol Encore,2008.0,0.39
Airlock,1981.0,0.39
Samurai Warriors Chronicles,2011.0,0.39
Saints Row IV,2015.0,0.38
Super Soccer,1991.0,0.38
SD Gundam G Generation Spirits,2007.0,0.38
Disney Sing It,2008.0,0.38
Get Fit with Mel B,2010.0,0.38
The Cat in the Hat,2005.0,0.38
Ice Age,2002.0,0.38
Sega Superstars Tennis,2008.0,0.38
Headhunter,2002.0,0.38
Skate,2007.0,0.38
ESPN Extreme Games,1994.0,0.38
